,Iterativo,Vectorizado
10,0.1369756,0.3771346
526325,674.6754046,125.8347064
1052640,1274.558451,300.3626278
1578955,1717.5269202,379.6558324
2105271,2255.6019598,434.6240468
2631586,2884.051705,566.1890712
3157901,3407.3960018,749.923235
3684216,3818.739089,776.2043134
4210532,4594.5391146,969.4505468
4736847,5255.2862856,1027.7914164
5263162,5279.4706534,989.740287
5789477,6312.9308932,1305.0510936
6315793,5591.0079092,1154.575369
6842108,7194.746246,1414.1793968
7368423,7473.1107246,1554.4561802
7894738,7113.5983272,1308.080552
8421054,7668.295385,1546.8493824
8947369,9002.321786,1891.4927836
9473684,9811.3381928,1960.1618222
10000000,9910.4064952,1873.6220574
