,Iterativo,Vectorizado
10,0.078149,0.2461624
526325,612.1670324,115.830224
1052640,1157.641911,240.3914702
1578955,1731.5750798,362.7504006
2105271,2309.3118208,487.8311122
2631586,2879.3533208,612.9847106
3157901,3523.6481424,757.217449
3684216,4017.2214028,859.5417018
4210532,4526.2402242,961.4854278
4736847,4485.2059432,971.9223102
5263162,4633.4739268,1007.061835
5789477,5138.0062738,1112.934594
6315793,5759.3467958,1301.4575466
6842108,7628.0873452,1630.5288604
7368423,6492.34342,1410.333629
7894738,7036.936523,1520.3425232
8421054,7569.2997088,1642.851772
8947369,8188.8997046,1823.0862214
9473684,8514.3442056,1829.5735648
10000000,8964.4238148,1935.803055
