,Iterativo,Vectorizado
10,0.0631796,0.1909238
526325,457.9924458,74.8942774
1052640,825.409456,148.7016206
1578955,1269.4013368,223.3296038
2105271,1685.6547786,309.3003262
2631586,2111.9439964,380.9114448
3157901,2505.5602964,462.6987304
3684216,2917.3198848,536.3096212
4210532,3354.8244072,617.4054194
4736847,4093.0994862,776.2384638
5263162,4379.5006232,916.9070134
5789477,5788.8836104,1081.972379
6315793,5961.8761988,1118.8396774
6842108,6259.3834624,1168.4500836
7368423,5950.8662412,1075.4419258
7894738,6386.2250442,1147.1379114
8421054,6775.2562408,1226.9761048
8947369,7450.5532828,1341.32155
9473684,7610.6918024,1378.639595
10000000,9398.1964264,1660.8293858
